volume_cm3,surface_area_cm2,aspect_ratio,num_faces,num_edges,num_holes,num_pockets,max_depth_mm,machinability,density,tolerance_factor,is_turning,is_milling,is_drilling,is_grinding,machining_time_min
389.24,379.16,18.561,1339,2928,11,6,47.16,1.0,2.7,1.0,0,1,1,0,45.873
191.69,745.07,3.819,1153,743,1,4,3.83,5.0,4.5,1.0,1,1,1,0,215.143
381.46,315.89,3.299,1911,648,5,3,2.63,1.8,7.85,1.0,0,1,1,0,44.101
374.93,775.63,1.968,1999,633,6,1,28.54,1.0,2.7,1.6,0,1,1,0,51.082
224.2,674.51,4.125,1116,2429,12,3,17.3,0.5,1.05,1.0,1,1,1,0,22.031
107.96,55.52,2.975,728,2359,8,3,34.12,0.5,1.05,1.25,0,1,1,0,9.318
337.52,403.32,2.42,1435,1696,1,4,18.24,1.0,2.7,1.0,0,1,1,0,26.842
223.99,210.94,4.502,2063,250,12,2,17.62,1.0,2.7,1.0,1,1,1,0,25.704
394.11,548.24,5.971,869,146,1,0,43.34,1.8,7.85,1.6,1,0,1,1,113.66
351.2,384.62,2.449,1537,1136,14,0,7.08,0.5,1.05,1.0,0,1,1,0,9.588
352.86,249.4,3.564,1983,1392,11,2,5.78,0.5,1.05,1.0,1,1,1,0,16.238
109.16,279.47,5.509,97,2294,7,5,25.93,0.5,1.05,1.25,1,1,1,1,17.203
51.38,361.86,2.9,1668,502,10,0,35.26,1.8,7.85,1.25,0,0,1,1,34.743
179.97,493.19,6.702,1194,2365,0,0,29.2,0.5,1.05,1.25,1,1,0,1,10.345
140.82,298.68,26.784,941,2492,0,7,8.41,1.0,2.7,1.0,1,1,0,0,26.584
339.4,260.93,2.323,835,394,9,7,13.81,1.2,8.5,1.25,0,1,1,0,43.989
191.75,672.34,4.656,1605,929,9,4,15.36,5.0,4.5,1.0,1,1,1,0,234.481
32.01,376.32,3.497,2121,2681,3,7,31.13,1.8,7.85,1.25,1,1,1,1,64.637
193.09,120.85,5.074,2371,783,0,0,49.87,1.0,2.7,1.0,0,0,0,0,7.82
438.54,197.33,1.143,1273,1542,6,1,0.84,1.2,8.5,1.0,0,1,1,0,24.71
74.59,558.24,1.602,1927,1776,6,1,48.25,5.0,4.5,1.25,0,1,1,1,117.783
74.22,142.82,7.658,373,1506,7,5,57.34,0.5,1.05,1.25,0,1,1,1,13.316
282.05,525.48,1.794,65,2901,2,4,55.98,1.0,2.7,1.6,0,1,1,1,49.268
394.53,63.38,2.726,1184,759,5,4,36.36,1.2,8.5,1.6,0,1,1,1,45.308
212.16,330.64,1.39,721,1405,7,1,14.2,1.0,2.7,1.25,0,1,1,1,22.407
61.59,99.92,6.51,830,986,13,1,55.26,1.0,2.7,1.6,0,1,1,0,39.883
66.59,65.86,3.389,1101,1806,7,5,23.62,5.0,4.5,1.6,1,1,1,1,96.647
427.05,82.61,2.161,1624,1747,14,3,2.96,0.5,1.05,1.25,0,1,1,0,12.646
59.82,675.09,9.587,2100,2543,12,7,58.77,0.5,1.05,1.0,1,1,1,0,35.933
324.82,634.25,1.573,2419,2584,12,3,23.11,1.0,2.7,1.0,0,1,1,0,40.186
140.57,154.83,5.206,878,1153,7,2,19.65,1.8,7.85,1.25,1,1,1,1,40.094
474.94,737.26,2.801,2403,2557,7,5,48.26,1.0,2.7,1.0,0,1,1,0,59.793
320.13,266.12,6.176,1283,2593,13,1,36.86,1.0,2.7,1.25,0,1,1,1,38.418
468.61,153.06,4.22,1140,2365,14,6,56.76,5.0,4.5,1.25,0,1,1,1,276.831
311.92,178.47,3.234,1714,1606,10,6,47.95,5.0,4.5,1.0,1,1,1,0,176.027
466.31,139.8,3.765,1835,1302,13,6,40.27,5.0,4.5,1.25,1,1,1,1,330.312
142.56,323.14,5.278,261,2813,8,3,23.0,1.8,7.85,1.6,1,1,1,1,73.021
392.35,409.53,1.81,2123,2857,6,0,51.03,5.0,4.5,1.6,0,1,1,0,226.133
346.19,59.23,4.028,2422,1418,4,3,18.12,1.0,2.7,1.6,1,1,1,1,36.67
498.55,709.4,8.272,1681,2997,0,5,39.01,1.8,7.85,1.6,0,1,0,1,153.605
128.01,157.27,6.613,757,1996,13,0,0.33,1.8,7.85,1.0,0,1,1,0,15.024
126.89,687.06,3.885,344,2334,12,5,50.28,1.2,8.5,1.25,0,1,1,0,93.528
318.71,688.35,4.534,88,870,1,5,58.81,5.0,4.5,1.6,1,1,1,0,420.262
30.75,713.11,15.828,1937,615,5,7,27.51,0.5,1.05,1.0,1,1,1,0,26.39
290.48,158.85,5.643,1366,2123,3,5,56.44,5.0,4.5,1.0,0,1,1,0,107.54
207.98,405.63,1.841,278,969,9,3,36.66,1.8,7.85,1.0,0,1,1,0,53.76
211.79,356.59,2.389,2305,185,4,3,28.45,5.0,4.5,1.25,0,1,1,0,126.29
287.23,576.5,5.235,653,2379,5,4,25.89,5.0,4.5,1.0,1,1,1,0,294.359
261.24,602.53,4.573,1846,1599,4,6,18.87,1.8,7.85,1.6,1,1,1,1,166.866
45.31,681.49,1.54,1244,585,10,2,44.56,5.0,4.5,1.0,0,1,1,0,157.877
415.31,692.41,4.12,1687,429,7,2,57.51,1.2,8.5,1.25,1,1,1,1,81.393
346.96,579.05,25.533,1703,690,11,4,9.83,1.2,8.5,1.0,0,1,1,0,48.913
494.68,466.98,13.272,1282,1388,12,3,4.8,5.0,4.5,1.0,1,1,1,0,296.307
